appearing , a , 115 , 1441355359117 , -104.3337 , 388.0954
appearing , a , 115 , 1441355359150 , -108.9314 , 404.8728
appearing , a , 115 , 1441355359183 , -114.1644 , 412.0175
appearing , a , 115 , 1441355359250 , -172.6703 , 482.0714
appearing , a , 115 , 1441355359283 , -167.1645 , 469.4054
appearing , a , 115 , 1441355359317 , -163.5574 , 466.7279
appearing , a , 115 , 1441355359350 , -160.0548 , 463.2629
appearing , a , 115 , 1441355359383 , -156.445 , 457.8602
appearing , a , 115 , 1441355359417 , -159.6723 , 452.6747
appearing , a , 115 , 1441355359450 , -158.5347 , 454.8888
appearing , a , 115 , 1441355359483 , -159.2944 , 457.0241
appearing , a , 115 , 1441355359517 , -157.2154 , 460.6025
appearing , a , 115 , 1441355359550 , -157.8121 , 463.332
appearing , a , 115 , 1441355359583 , -156.7258 , 465.4142
appearing , a , 115 , 1441355359616 , -155.3625 , 466.3197
appearing , a , 115 , 1441355359650 , -154.7117 , 471.2213
appearing , a , 115 , 1441355359683 , -154.9324 , 471.9188
appearing , a , 115 , 1441355359716 , -155.4477 , 476.1895
appearing , a , 115 , 1441355360616 , -680.4943 , 482.0019
appearing , a , 115 , 1441355361248 , -152.1657 , 485.5585
appearing , a , 115 , 1441355361282 , -136.5416 , 381.2244
appearing , a , 115 , 1441355361315 , -125.4992 , 368.5743
appearing , a , 115 , 1441355361348 , -110.6992 , 351.1895
appearing , a , 115 , 1441355361382 , -109.2784 , 340.6055
are , a , 79 , 1441355361415 , -108.1771 , 294.4444
Test , T , 0 , 1441355362081 , 0.0 , 0.0
Test , T , 0 , 1441355362114 , 0.0 , 0.0
Test , T , 0 , 1441355362148 , 0.0 , 0.0
appearing , a , 115 , 1441355362980 , -124.2778 , 477.5024
appearing , a , 115 , 1441355363014 , -140.4699 , 444.6506
appearing , a , 115 , 1441355363047 , -138.4866 , 447.9198
appearing , a , 115 , 1441355363080 , -132.0915 , 449.8898
appearing , a , 115 , 1441355363113 , -127.1286 , 462.5766
appearing , a , 115 , 1441355363147 , -123.3417 , 481.1285
Test , T , 0 , 1441355365411 , 0.0 , 0.0
Test , T , 0 , 1441355365445 , 0.0 , 0.0
Test , T , 0 , 1441355366311 , 0.0 , 0.0
Test , T , 0 , 1441355366344 , 0.0 , 0.0
appearing , a , 115 , 1441355368009 , -266.8917 , 407.4691
appearing , a , 115 , 1441355368109 , -520.754 , 450.6464
appearing , a , 115 , 1441355368142 , -553.6397 , 389.2704
appearing , a , 115 , 1441355368176 , -560.7769 , 363.9157
are , a , 79 , 1441355368209 , -635.551 , 277.2507
are , a , 79 , 1441355368242 , -547.1055 , 225.9432
move , m , 38 , 1441355368276 , -368.591 , 175.1198
move , m , 38 , 1441355368309 , -195.061 , 199.6109
move , m , 38 , 1441355368342 , -99.7117 , 202.0255
move , m , 38 , 1441355368376 , -43.726 , 199.1253
your , u , 45 , 1441355368409 , 210.0874 , 175.3665
please , e , 14 , 1441355368476 , 413.2797 , 81.6009
please , a , 15 , 1441355368509 , 453.6411 , 68.231
