appearing , g , 123 , 1441355181725 , 254.1735 , 338.8277
appearing , g , 123 , 1441355181759 , 246.6344 , 368.3368
appearing , g , 123 , 1441355181792 , 255.4065 , 382.7214
appearing , g , 123 , 1441355181825 , 254.876 , 382.6925
appearing , g , 123 , 1441355181859 , 257.7676 , 385.5152
where , w , 125 , 1441355181925 , 296.4216 , 393.1812
you , o , 132 , 1441355181958 , 521.7701 , 461.5623
you , u , 133 , 1441355181992 , 538.8833 , 460.0294
you , u , 133 , 1441355182025 , 542.4697 , 456.7704
you , u , 133 , 1441355182058 , 533.7654 , 463.0287
you , u , 133 , 1441355182092 , 531.2018 , 466.7315
you , u , 133 , 1441355182125 , 528.3159 , 469.084
you , o , 132 , 1441355182158 , 527.7061 , 473.0795
you , o , 132 , 1441355182192 , 525.4099 , 475.7679
you , o , 132 , 1441355182225 , 524.6288 , 472.811
where , r , 128 , 1441355182525 , 386.4027 , 442.1545
where , r , 128 , 1441355182558 , 399.8377 , 428.8378
you , o , 132 , 1441355182591 , 513.0153 , 385.2826
you , u , 133 , 1441355182624 , 547.4009 , 370.8474
until , l , 98 , 1441355182658 , 559.4836 , 364.1676
you , u , 133 , 1441355182691 , 553.4586 , 378.3448
move , v , 40 , 1441355182758 , 651.6346 , 329.5215
move , o , 39 , 1441355182792 , 607.4359 , 352.2714
until , l , 98 , 1441355182825 , 572.8481 , 360.5374
you , u , 133 , 1441355182859 , 557.5918 , 354.6364
move , v , 40 , 1441355182959 , 468.0078 , 185.6495
Test , T , 0 , 1441355182992 , 0.0 , 0.0
Test , T , 0 , 1441355183025 , 0.0 , 0.0
Test , T , 0 , 1441355183058 , 0.0 , 0.0
until , u , 94 , 1441355183092 , 462.4866 , 223.832
Test , T , 0 , 1441355183125 , 617.374 , -246.1458
Test , T , 0 , 1441355183158 , 0.0 , 0.0
Test , T , 0 , 1441355183192 , 0.0 , 0.0
Test , T , 0 , 1441355183225 , 312.9925 , -406.202
Test , T , 0 , 1441355183258 , 254.5752 , -433.2237
Test , T , 0 , 1441355183292 , 312.7133 , -400.1407
Test , T , 0 , 1441355183358 , 0.0 , 0.0
Test , T , 0 , 1441355183392 , 0.0 , 0.0
Test , T , 0 , 1441355183425 , 134.7915 , -204.4442
Test , T , 0 , 1441355183458 , 0.0 , 0.0
Test , T , 0 , 1441355183525 , 0.0 , 0.0
Test , T , 0 , 1441355183558 , 0.0 , 0.0
Test , T , 0 , 1441355183591 , 0.0 , 0.0
Test , T , 0 , 1441355183625 , 741.231 , -701.1017
Test , T , 0 , 1441355183658 , 0.0 , 0.0
Test , T , 0 , 1441355183691 , 624.8912 , -325.2573
Test , T , 0 , 1441355183725 , 0.0 , 0.0
Test , T , 0 , 1441355183758 , 629.7969 , -136.2565
Trial , i , 7 , 1441355183791 , 634.9023 , -14.6521
Trial , i , 7 , 1441355183824 , 643.3021 , 72.0226
appearing , a , 119 , 1441355185989 , 131.1878 , 396.9163
appearing , a , 119 , 1441355186023 , 131.3229 , 407.538
appearing , a , 119 , 1441355186056 , 121.2699 , 404.6521
appearing , a , 119 , 1441355186089 , 117.4592 , 396.442
appearing , a , 119 , 1441355186123 , 121.5558 , 390.4462
appearing , a , 119 , 1441355186156 , 137.3844 , 373.9415
appearing , r , 120 , 1441355186189 , 162.7294 , 336.5166
appearing , r , 120 , 1441355186222 , 149.1227 , 336.6129
appearing , r , 120 , 1441355186256 , 141.3061 , 343.6694
appearing , a , 119 , 1441355186289 , 115.599 , 347.0805
appearing , e , 118 , 1441355186322 , 96.2297 , 366.6715
appearing , e , 118 , 1441355186356 , 84.3555 , 372.5608
using , g , 87 , 1441355186389 , 247.5673 , 306.7318
head , d , 51 , 1441355186422 , 801.0632 , 175.5248
and , a , 53 , 1441355186489 , 851.9374 , 107.6128
please , a , 15 , 1441355186522 , 869.2493 , 86.198
and , a , 53 , 1441355186555 , 864.5412 , 95.4251
please , e , 14 , 1441355186589 , 840.35 , 105.3674
please , e , 14 , 1441355186622 , 835.9745 , 106.8803
and , a , 53 , 1441355186655 , 851.9515 , 98.2243
and , a , 53 , 1441355186689 , 852.4322 , 97.3217
and , a , 53 , 1441355186722 , 859.4411 , 94.0864
and , a , 53 , 1441355186755 , 855.2714 , 96.0767
and , a , 53 , 1441355186789 , 860.6647 , 95.4948
and , a , 53 , 1441355186822 , 864.1065 , 92.0213
and , a , 53 , 1441355186855 , 867.9595 , 90.8919
and , a , 53 , 1441355186889 , 861.4166 , 101.6678
and , a , 53 , 1441355186922 , 858.3218 , 106.575
and , a , 53 , 1441355186955 , 859.8841 , 106.0933
and , a , 53 , 1441355186988 , 863.8987 , 103.9861
and , a , 53 , 1441355187022 , 859.9214 , 111.5047
move , e , 41 , 1441355190719 , 677.0127 , 363.3191
the , e , 102 , 1441355190752 , 698.8896 , 301.2855
the , e , 102 , 1441355190785 , 699.3766 , 307.5904
the , e , 102 , 1441355190818 , 702.8617 , 329.1424
the , e , 102 , 1441355190852 , 696.3362 , 343.8317
the , e , 102 , 1441355190885 , 696.963 , 349.2822
the , e , 102 , 1441355190918 , 695.1664 , 348.5161
the , e , 102 , 1441355190952 , 696.5458 , 344.2311
the , e , 102 , 1441355190985 , 696.6979 , 341.2842
you , u , 133 , 1441355191018 , 543.0686 , 384.1345
you , u , 133 , 1441355191052 , 538.9163 , 380.2812
you , u , 133 , 1441355191085 , 539.3713 , 390.4816
you , u , 133 , 1441355191118 , 538.5131 , 398.0028
you , u , 133 , 1441355191151 , 534.5146 , 397.2962
you , u , 133 , 1441355191185 , 543.3373 , 387.4266
you , u , 133 , 1441355191218 , 548.0872 , 385.8788
you , u , 133 , 1441355191251 , 551.0804 , 380.3753
you , u , 133 , 1441355191285 , 546.7802 , 379.8022
you , u , 133 , 1441355191318 , 544.9185 , 380.8681
you , u , 133 , 1441355191351 , 536.932 , 383.4122
where , r , 128 , 1441355191385 , 388.6991 , 433.794
where , r , 128 , 1441355191418 , 380.65 , 446.2957
where , e , 127 , 1441355191451 , 367.0181 , 436.7353
where , e , 127 , 1441355191485 , 360.8634 , 438.9974
where , e , 127 , 1441355191518 , 361.0964 , 438.0536
where , e , 127 , 1441355191551 , 355.6056 , 434.9678
where , e , 127 , 1441355191584 , 359.5437 , 432.5506
where , e , 127 , 1441355191618 , 358.5846 , 432.5674
where , e , 127 , 1441355191651 , 358.0904 , 436.5904
where , e , 127 , 1441355191684 , 360.282 , 435.51
where , e , 127 , 1441355191718 , 358.2867 , 437.247
where , e , 127 , 1441355191751 , 357.1198 , 442.1514
where , e , 127 , 1441355191784 , 354.4958 , 442.4204
where , e , 127 , 1441355191818 , 354.9918 , 443.3061
where , e , 127 , 1441355191851 , 354.1895 , 444.6487
where , h , 126 , 1441355191884 , 346.7831 , 444.7949
appearing , g , 123 , 1441355191917 , 239.3094 , 428.319
appearing , g , 123 , 1441355191951 , 238.9923 , 426.5338
appearing , n , 122 , 1441355191984 , 225.125 , 453.8406
appearing , n , 122 , 1441355192017 , 218.8864 , 451.4728
appearing , n , 122 , 1441355192051 , 223.2988 , 444.8771
appearing , n , 122 , 1441355192084 , 218.4254 , 462.688
appearing , n , 122 , 1441355192117 , 213.7397 , 464.6026
appearing , n , 122 , 1441355192151 , 212.2692 , 469.3645
appearing , n , 122 , 1441355192184 , 212.9825 , 472.6314
appearing , n , 122 , 1441355192217 , 209.1194 , 480.6815
appearing , n , 122 , 1441355192251 , 206.3715 , 481.4425
Test , T , 0 , 1441355202709 , 0.0 , 0.0
Test , T , 0 , 1441355202743 , 0.0 , 0.0
Test , T , 0 , 1441355202776 , 0.0 , 0.0
Test , T , 0 , 1441355202876 , 0.0 , 0.0
Test , T , 0 , 1441355202909 , 0.0 , 0.0
Test , T , 0 , 1441355202942 , 0.0 , 0.0
Test , T , 0 , 1441355203009 , 0.0 , 0.0
Test , T , 0 , 1441355203042 , 0.0 , 0.0
Test , T , 0 , 1441355203475 , 0.0 , 0.0
Test , T , 0 , 1441355203509 , 0.0 , 0.0
appearing , a , 115 , 1441355203675 , -320.5602 , 345.2733
Test , T , 0 , 1441355203708 , -503.2075 , 45.4269
Test , T , 0 , 1441355203743 , -587.7058 , -68.6228
Test , T , 0 , 1441355203775 , -583.9108 , -80.4024
Test , T , 0 , 1441355203808 , -392.9185 , 73.1162
appearing , a , 115 , 1441355203842 , -268.9377 , 161.3769
Test , T , 0 , 1441355205807 , 0.0 , 0.0
where , w , 125 , 1441355206772 , 294.9736 , 456.5978
where , w , 125 , 1441355206806 , 312.3732 , 468.8308
where , h , 126 , 1441355206839 , 321.564 , 470.0414
where , r , 128 , 1441355206939 , 388.224 , 473.9342
where , r , 128 , 1441355206972 , 382.9209 , 480.2247
where , r , 128 , 1441355207005 , 387.0297 , 481.1782
where , r , 128 , 1441355207039 , 387.8679 , 478.6055
where , r , 128 , 1441355207072 , 389.81 , 478.5536
where , r , 128 , 1441355207105 , 389.952 , 477.7894
where , r , 128 , 1441355207139 , 390.3013 , 479.1958
where , r , 128 , 1441355207172 , 393.2398 , 479.1899
where , r , 128 , 1441355207205 , 395.4336 , 478.7292
where , r , 128 , 1441355207239 , 397.1404 , 478.2719
where , r , 128 , 1441355207272 , 396.1504 , 476.7161
where , r , 128 , 1441355207305 , 395.7865 , 476.0445
where , r , 128 , 1441355207339 , 394.9366 , 476.5552
where , r , 128 , 1441355207372 , 395.0418 , 477.308
where , r , 128 , 1441355207405 , 394.9416 , 477.5532
where , r , 128 , 1441355207438 , 395.7215 , 476.9488
where , r , 128 , 1441355207472 , 397.5181 , 476.9883
where , r , 128 , 1441355207505 , 397.0535 , 478.6212
where , r , 128 , 1441355207538 , 395.9866 , 480.1737
where , r , 128 , 1441355207572 , 396.9642 , 478.3974
where , r , 128 , 1441355207605 , 396.7438 , 477.258
