outrageous , r , 115 , 1418229767606 , 682.8156 , 232.4471
outrageous , o , 119 , 1418229873597 , 762.8599 , 241.8739
outrageous , o , 119 , 1418229873642 , 769.8338 , 237.9036
outrageous , o , 119 , 1418229873677 , 777.4145 , 232.7215
outrageous , u , 120 , 1418229873712 , 781.3542 , 228.7098
outrageous , u , 120 , 1418229873746 , 786.4326 , 225.7255
outrageous , u , 120 , 1418229873782 , 791.7604 , 223.5387
suffer , e , 83 , 1418229873827 , 933.3405 , 193.7938
suffer , e , 83 , 1418229873862 , 935.2787 , 190.8833
suffer , e , 83 , 1418229873898 , 930.9677 , 187.3051
suffer , e , 83 , 1418229873933 , 931.4409 , 186.1909
suffer , e , 83 , 1418229873979 , 927.728 , 189.2814
suffer , e , 83 , 1418229874121 , 928.652 , 188.2198
suffer , e , 83 , 1418229874156 , 925.5206 , 189.2523
suffer , e , 83 , 1418229874192 , 925.7202 , 188.681
suffer , f , 82 , 1418229874226 , 923.7889 , 191.1554
suffer , f , 82 , 1418229874271 , 923.5333 , 191.5665
suffer , f , 82 , 1418229874305 , 920.5934 , 192.2471
suffer , f , 82 , 1418229874340 , 920.544 , 194.1427
suffer , f , 82 , 1418229874374 , 919.1818 , 193.9511
suffer , f , 82 , 1418229874420 , 917.1958 , 192.2372
suffer , f , 82 , 1418229874454 , 916.3698 , 193.2953
suffer , f , 82 , 1418229874489 , 914.981 , 194.0865
suffer , f , 82 , 1418229874524 , 915.5929 , 195.6996
suffer , f , 82 , 1418229874559 , 914.6953 , 195.4183
suffer , f , 82 , 1418229874605 , 915.796 , 196.3911
suffer , f , 82 , 1418229874640 , 915.7321 , 197.4785
troubles , r , 167 , 1418229874675 , 804.7944 , 377.1378
death , d , 472 , 1418229874719 , 504.9999 , 1034.1202
There , T , 567 , 1418402674784 , 478.8568 , 1195.5526
Flesh , h , 321 , 2664719239451 , 214.1392 , 692.8851
