To  ﻿ 1416605834110
be,  b 1416605834316
or    1416605834523
not    1416605834732
not  n 1416605834937
not  t 1416605835145
to    1416605880336
to  o 1416605880339
Benat    1416605896417
Benat    1416605897263
to  t 1416605898246
be,  b 1416605898910
Benat  B 1416605899929
be,  , 1416605900148
Benat  a 1416605900351
