Arrows , A , 102 , 1418229482955 , 348.6548 , 243.7745
The , h , 88 , 1418229489948 , 19.8228 , 256.7642
The , h , 88 , 1418229489983 , 28.0225 , 268.713
The , h , 88 , 1418229490018 , 19.0312 , 263.9636
The , h , 88 , 1418229490054 , 15.8986 , 251.4283
The , T , 87 , 1418229490099 , 2.5123 , 253.1378
The , T , 87 , 1418229490135 , -8.8981 , 253.6769
The , T , 87 , 1418229490170 , -16.5269 , 253.9487
The , T , 87 , 1418229490205 , -24.6151 , 252.2794
The , T , 87 , 1418229490239 , -26.6442 , 254.244
The , T , 87 , 1418229490274 , -31.7861 , 252.2115
The , T , 87 , 1418229490320 , -35.4035 , 251.2907
The , T , 87 , 1418229490354 , -38.5389 , 251.6882
The , T , 87 , 1418229490388 , -42.0791 , 259.6405
The , T , 87 , 1418229490422 , -44.4073 , 264.9026
The , T , 87 , 1418229490468 , -46.1492 , 272.8085
The , T , 87 , 1418229490504 , -48.44 , 279.1499
The , T , 87 , 1418229490539 , -49.1167 , 287.5675
The , T , 87 , 1418229490574 , -50.834 , 292.0865
The , T , 87 , 1418229490609 , -50.5999 , 298.3125
Or , O , 133 , 1418229490645 , -51.9031 , 304.2834
Or , O , 133 , 1418229490691 , -51.6639 , 310.7812
Or , O , 133 , 1418229490726 , -51.7343 , 316.5027
Or , O , 133 , 1418229490762 , -52.301 , 321.8474
Or , O , 133 , 1418229490797 , -53.7312 , 324.5457
Or , O , 133 , 1418229490832 , -53.2574 , 330.3199
Or , O , 133 , 1418229490867 , -52.5333 , 335.4147
Or , O , 133 , 1418229490913 , -53.2342 , 338.1594
Or , O , 133 , 1418229490948 , -53.4155 , 341.64
Or , O , 133 , 1418229490982 , -51.2983 , 343.819
Or , O , 133 , 1418229491018 , -50.0962 , 344.7641
Or , O , 133 , 1418229491052 , -50.0435 , 346.1578
Or , O , 133 , 1418229491097 , -50.0239 , 346.1061
Or , O , 133 , 1418229491132 , -48.2932 , 347.4214
Or , O , 133 , 1418229491167 , -47.1497 , 348.9163
against , g , 150 , 1418229491202 , 419.4556 , 383.1902
against , a , 151 , 1418229491237 , 434.1848 , 358.3364
against , a , 151 , 1418229491283 , 421.3683 , 348.4347
against , a , 151 , 1418229491318 , 422.7143 , 338.856
against , a , 151 , 1418229491353 , 421.8604 , 343.1771
against , g , 150 , 1418229491388 , 419.8921 , 350.0415
against , a , 151 , 1418229491423 , 422.2448 , 355.6184
against , g , 150 , 1418229491468 , 414.3243 , 364.4763
against , g , 150 , 1418229491504 , 406.5524 , 367.8375
against , g , 150 , 1418229491541 , 400.7906 , 370.3605
against , a , 149 , 1418229491576 , 395.3889 , 373.0065
Or , O , 133 , 1418229491610 , 2.8775 , 389.437
And , A , 177 , 1418229491645 , -14.8643 , 394.8484
Or , O , 133 , 1418229491691 , -22.3883 , 389.6574
Or , O , 133 , 1418229491725 , -20.5437 , 386.0846
And , A , 177 , 1418229491759 , -13.7773 , 391.2793
Or , O , 133 , 1418229491793 , -15.9254 , 388.9152
Or , O , 133 , 1418229491838 , -16.9443 , 383.896
Or , O , 133 , 1418229491873 , -20.5829 , 380.2943
Or , O , 133 , 1418229491909 , -27.6214 , 365.4622
Or , O , 133 , 1418229491943 , -32.6131 , 358.9999
Or , O , 133 , 1418229491977 , -41.0929 , 348.6457
Or , O , 133 , 1418229492022 , -43.1815 , 344.3945
Or , O , 133 , 1418229492057 , -47.6341 , 338.2918
Or , O , 133 , 1418229492091 , -51.5139 , 331.9381
Or , O , 133 , 1418229492125 , -58.6365 , 326.518
Or , O , 133 , 1418229492170 , -59.8208 , 322.9297
by , y , 182 , 1418229492205 , 109.8194 , 403.8892
to , o , 137 , 1418229492240 , 96.843 , 378.8893
to , o , 137 , 1418229492276 , 94.5851 , 375.3513
to , o , 137 , 1418229492312 , 99.8202 , 374.8752
to , o , 137 , 1418229492356 , 97.4163 , 371.1449
to , o , 137 , 1418229492391 , 98.7735 , 374.818
opposing , g , 191 , 1418229492427 , 337.2032 , 403.4041
opposing , g , 191 , 1418229492462 , 326.9276 , 400.4061
opposing , g , 191 , 1418229492498 , 340.739 , 393.5995
opposing , g , 191 , 1418229492533 , 331.0795 , 394.445
opposing , g , 191 , 1418229492578 , 327.6291 , 398.6272
opposing , g , 191 , 1418229492613 , 325.7815 , 405.5129
opposing , g , 191 , 1418229492649 , 328.0493 , 405.4225
opposing , n , 190 , 1418229492684 , 323.2059 , 412.6077
opposing , n , 190 , 1418229492719 , 313.8629 , 408.9894
opposing , n , 190 , 1418229492764 , 307.3222 , 413.3522
opposing , i , 189 , 1418229492799 , 298.3686 , 413.1752
opposing , i , 189 , 1418229492835 , 297.9779 , 414.4911
opposing , i , 189 , 1418229492870 , 295.6042 , 413.4247
to , o , 137 , 1418229492904 , 97.0911 , 388.6967
to , t , 136 , 1418229492950 , 78.4823 , 366.7695
to , o , 137 , 1418229492984 , 85.6639 , 387.4041
to , t , 136 , 1418229493019 , 80.7476 , 384.6021
to , t , 136 , 1418229493054 , 74.5286 , 385.5249
Or , r , 134 , 1418229493135 , 22.0835 , 359.5329
Or , O , 133 , 1418229493170 , 4.7238 , 349.6272
Or , O , 133 , 1418229493205 , -7.3471 , 341.363
Or , O , 133 , 1418229493240 , -18.2066 , 336.0843
Or , O , 133 , 1418229493274 , -27.8191 , 332.9535
or , r , 10 , 1418229493874 , 213.9614 , 57.7232
or , o , 9 , 1418229493910 , 196.0696 , 56.3561
or , o , 9 , 1418229493944 , 197.7959 , 52.0863
or , r , 10 , 1418229493979 , 204.7962 , 55.8846
not , n , 12 , 1418229494015 , 252.4646 , 55.651
not , t , 14 , 1418229494049 , 304.9053 , 49.1148
be , e , 20 , 1418229494130 , 464.9446 , 54.1141
to , t , 23 , 1418229494430 , 526.8336 , 48.8673
to , o , 24 , 1418229494465 , 540.8198 , 42.8203
to , o , 24 , 1418229494500 , 552.6742 , 39.9176
to , o , 24 , 1418229494534 , 562.8696 , 34.3121
to , t , 23 , 1418229494833 , 519.7228 , 112.3031
To , T , 2 , 1418229494867 , 34.9108 , 110.1126
To , T , 2 , 1418229494902 , 25.8294 , 107.5121
To , T , 2 , 1418229494948 , 20.4984 , 113.6453
To , T , 2 , 1418229494984 , 19.1823 , 107.293
To , T , 2 , 1418229495020 , 17.0014 , 106.7303
Whether , h , 45 , 1418229495089 , 30.9294 , 119.6033
Whether , e , 46 , 1418229495205 , 53.6185 , 119.7211
Whether , h , 48 , 1418229495240 , 91.6844 , 120.2046
tis , s , 55 , 1418229495274 , 270.0066 , 128.6964
tis , s , 55 , 1418229495308 , 266.8223 , 133.2307
tis , s , 55 , 1418229495356 , 264.256 , 139.0538
tis , s , 55 , 1418229495390 , 260.2957 , 141.8244
tis , s , 55 , 1418229495425 , 252.336 , 135.585
tis , s , 55 , 1418229495459 , 252.1899 , 133.7689
tis , i , 54 , 1418229495493 , 248.9694 , 132.7186
is , i , 26 , 1418229495539 , 603.4126 , 104.7014
to , o , 24 , 1418229495574 , 553.7679 , 114.6555
the , h , 68 , 1418229495679 , 565.8915 , 122.5595
the , h , 68 , 1418229495726 , 565.28 , 134.1782
the , h , 68 , 1418229495761 , 568.2411 , 135.4657
the , h , 68 , 1418229495796 , 565.2219 , 138.4405
the , h , 68 , 1418229495831 , 570.0242 , 136.6884
question , n , 40 , 1418229495866 , 930.8088 , 74.8696
question , n , 40 , 1418229495911 , 933.3796 , 103.8568
question , o , 39 , 1418229495945 , 922.5179 , 75.3312
question , o , 39 , 1418229495982 , 904.956 , 91.2752
question , i , 38 , 1418229496019 , 894.4026 , 109.1327
question , i , 38 , 1418229496055 , 888.5811 , 111.79
suffer , f , 81 , 1418229496093 , 885.2393 , 117.614
suffer , f , 81 , 1418229496130 , 883.5612 , 115.8718
question , i , 38 , 1418229496165 , 884.7745 , 109.1819
question , i , 38 , 1418229496201 , 886.9545 , 109.9358
of , f , 110 , 1418229496236 , 546.6717 , 270.0563
Whether , W , 44 , 1418229496271 , -20.5201 , 192.1966
Whether , W , 44 , 1418229496317 , -24.5486 , 181.2648
Whether , W , 44 , 1418229496351 , -22.4414 , 195.1551
Whether , W , 44 , 1418229496386 , -17.7096 , 197.4691
Whether , W , 44 , 1418229496420 , -16.0396 , 198.0961
The , T , 87 , 1418229496455 , -18.1966 , 220.0994
The , h , 88 , 1418229496502 , 12.8497 , 207.9828
Whether , W , 44 , 1418229496536 , 6.9661 , 204.2472
The , T , 87 , 1418229496573 , 6.4085 , 215.8034
The , e , 89 , 1418229496608 , 38.3057 , 220.8266
The , e , 89 , 1418229496644 , 56.9479 , 227.4539
Slings , S , 91 , 1418229496828 , 87.5456 , 236.2862
Slings , S , 91 , 1418229496863 , 86.3485 , 231.1861
Slings , S , 91 , 1418229496909 , 84.496 , 227.5868
Slings , S , 91 , 1418229497013 , 88.9195 , 222.2268
ben , a , 98 , 1418229497048 , 266.7384 , 262.6594
and , a , 98 , 1418229497130 , 255.0063 , 284.3749
and , a , 98 , 1418229497164 , 261.8696 , 293.9485
and , a , 98 , 1418229497200 , 265.7353 , 282.6131
and , a , 98 , 1418229497237 , 271.4389 , 281.4128
and , a , 98 , 1418229497272 , 275.3309 , 281.5849
and , a , 98 , 1418229497309 , 274.1426 , 281.7376
and , n , 99 , 1418229497345 , 276.3584 , 282.0569
and , n , 99 , 1418229497391 , 278.5917 , 280.1885
and , n , 99 , 1418229497427 , 280.8228 , 280.7398
and , n , 99 , 1418229497462 , 280.3117 , 281.4269
of , o , 109 , 1418229497497 , 538.0921 , 279.1515
outrageous , o , 112 , 1418229497532 , 596.6829 , 292.0328
outrageous , o , 112 , 1418229497567 , 611.5187 , 279.3258
outrageous , o , 112 , 1418229497613 , 603.2654 , 271.6579
outrageous , o , 112 , 1418229497647 , 604.9658 , 275.0628
outrageous , o , 112 , 1418229497682 , 602.9047 , 278.5084
outrageous , o , 112 , 1418229497716 , 599.2308 , 285.1675
outrageous , o , 112 , 1418229497761 , 594.8047 , 288.5955
outrageous , o , 112 , 1418229497798 , 593.7265 , 289.2147
outrageous , u , 120 , 1418229497833 , 783.147 , 272.2198
Fortune , r , 125 , 1418229497869 , 917.3064 , 276.8224
Fortune , r , 125 , 1418229497905 , 922.9367 , 263.176
Fortune , r , 125 , 1418229497940 , 906.2964 , 265.2503
Fortune , r , 125 , 1418229497974 , 905.9244 , 267.1765
Fortune , r , 125 , 1418229498019 , 903.9513 , 265.0867
Fortune , o , 124 , 1418229498054 , 899.9194 , 271.1912
Fortune , o , 124 , 1418229498089 , 896.5441 , 268.9023
Fortune , o , 124 , 1418229498126 , 899.1783 , 276.5498
Fortune , r , 125 , 1418229498163 , 906.507 , 273.0339
Fortune , r , 125 , 1418229498198 , 907.8351 , 271.2575
Fortune , r , 125 , 1418229498233 , 912.8604 , 273.784
end , d , 196 , 1418229498279 , 450.0325 , 430.4324
Or , r , 134 , 1418229498315 , 16.2245 , 325.3445
Or , r , 134 , 1418229498351 , 15.5688 , 328.9272
Or , r , 134 , 1418229498386 , 23.9285 , 334.4137
Or , r , 134 , 1418229498422 , 33.0876 , 341.2069
Or , r , 134 , 1418229498539 , 16.1867 , 335.3661
The , T , 87 , 1418229498574 , -13.4762 , 273.3017
The , T , 87 , 1418229498609 , -0.8595 , 273.908
The , T , 87 , 1418229498643 , 3.5677 , 280.3096
The , T , 87 , 1418229498679 , 2.0707 , 277.0689
The , h , 88 , 1418229498714 , 31.1984 , 285.4377
take , e , 142 , 1418229498759 , 209.5148 , 346.5715
take , e , 142 , 1418229498795 , 221.6631 , 320.1736
take , k , 141 , 1418229498831 , 200.3282 , 313.2943
take , k , 141 , 1418229498867 , 201.515 , 316.0336
take , e , 142 , 1418229498902 , 223.7806 , 323.5629
Arms , A , 144 , 1418229498937 , 257.3802 , 339.7535
Arms , A , 144 , 1418229498983 , 275.1997 , 344.2453
Arms , r , 145 , 1418229499019 , 288.5414 , 351.1899
Arms , m , 146 , 1418229499054 , 300.1302 , 351.729
Arms , m , 146 , 1418229499088 , 311.2383 , 355.4758
Arms , m , 146 , 1418229499124 , 315.3536 , 355.7454
Arms , m , 146 , 1418229499159 , 321.1699 , 359.1568
Arms , s , 147 , 1418229499194 , 326.5631 , 359.3014
Arms , s , 147 , 1418229499239 , 340.5317 , 379.4687
against , a , 149 , 1418229499274 , 395.321 , 376.6047
against , a , 149 , 1418229499309 , 380.0538 , 382.1183
against , i , 152 , 1418229499344 , 465.4262 , 369.9229
against , t , 155 , 1418229499390 , 519.2231 , 383.5216
To , o , 205 , 1418229499460 , 661.958 , 411.5654
Sea , e , 160 , 1418229499494 , 655.4882 , 372.8666
Sea , a , 161 , 1418229499529 , 664.3411 , 369.1476
of , f , 164 , 1418229499564 , 747.8726 , 374.6377
troubles , t , 166 , 1418229499611 , 783.1968 , 358.4511
troubles , t , 166 , 1418229499646 , 800.8829 , 353.9494
troubles , r , 167 , 1418229499680 , 817.2341 , 352.5738
troubles , b , 170 , 1418229499714 , 880.0066 , 384.016
Fortune , F , 123 , 1418229499760 , 858.6787 , 289.5652
troubles , b , 170 , 1418229499795 , 877.1469 , 334.8277
troubles , b , 170 , 1418229499829 , 885.5658 , 339.6669
troubles , b , 170 , 1418229499864 , 886.3431 , 343.6243
troubles , b , 170 , 1418229499899 , 885.161 , 349.6809
troubles , b , 170 , 1418229499944 , 887.1255 , 342.9234
troubles , b , 170 , 1418229499980 , 888.6765 , 345.6282
opposing , p , 185 , 1418229500015 , 201.7433 , 398.767
And , d , 179 , 1418229500050 , 46.6846 , 428.9325
And , n , 178 , 1418229500084 , 25.2975 , 407.222
And , n , 178 , 1418229500130 , 22.4329 , 397.5093
And , n , 178 , 1418229500164 , 30.4098 , 405.1268
And , n , 178 , 1418229500199 , 17.2742 , 394.4626
Or , O , 133 , 1418229500233 , -34.2364 , 326.7451
Or , O , 133 , 1418229500268 , -25.0423 , 377.0729
Or , O , 133 , 1418229500313 , -39.8964 , 359.6344
Or , O , 133 , 1418229500347 , -46.4222 , 353.4738
Or , O , 133 , 1418229500382 , -18.8951 , 360.0452
Or , r , 134 , 1418229500417 , 12.6161 , 370.779
Or , r , 134 , 1418229500463 , 33.0341 , 376.3598
end , e , 194 , 1418229500603 , 399.2915 , 412.467
them , m , 201 , 1418229501008 , 576.3948 , 476.1146
To , T , 204 , 1418229501054 , 637.0745 , 465.109
to , o , 249 , 1418229501193 , 634.5244 , 486.899
to , o , 249 , 1418229501239 , 633.3682 , 483.9996
