coil,    1416604328784
or  r 1416604330503
not    1416604330710
not  o 1416604330910
not  t 1416604331116
to    1416604331343
to  t 1416604331547
to  t 1416604331756
to  o 1416604332301
be,  b 1416604332508
be,  e 1416604332713
Benat    1416604332920
Benat    1416604333134
Benat  B 1416604333338
Benat  e 1416604333544
Benat  e 1416604333762
